datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,1,PJM-RTO,,,ZONE,,30.360000,30.378249,0.000145,0.013937,True,1
1/2/2019 11:00:00 PM,1/2/2019 6:00:00 PM,1,PJM-RTO,,,ZONE,,27.720000,27.732916,0.000000,0.011249,True,1
1/3/2019 12:00:00 AM,1/2/2019 7:00:00 PM,1,PJM-RTO,,,ZONE,,27.180000,27.202493,0.005655,0.013505,True,1
1/3/2019 1:00:00 AM,1/2/2019 8:00:00 PM,1,PJM-RTO,,,ZONE,,26.080000,26.100512,0.007634,0.011211,True,1
1/3/2019 2:00:00 AM,1/2/2019 9:00:00 PM,1,PJM-RTO,,,ZONE,,23.820000,23.833804,0.000000,0.010471,True,1
1/3/2019 3:00:00 AM,1/2/2019 10:00:00 PM,1,PJM-RTO,,,ZONE,,23.090000,23.103038,0.000000,0.011372,True,1
1/3/2019 4:00:00 AM,1/2/2019 11:00:00 PM,1,PJM-RTO,,,ZONE,,22.020000,22.030682,0.000000,0.011516,True,1
1/3/2019 5:00:00 AM,1/3/2019 12:00:00 AM,1,PJM-RTO,,,ZONE,,20.800000,20.805086,0.000000,0.009252,True,1
1/3/2019 6:00:00 AM,1/3/2019 1:00:00 AM,1,PJM-RTO,,,ZONE,,20.340000,20.349768,0.000000,0.008934,True,1
1/3/2019 7:00:00 AM,1/3/2019 2:00:00 AM,1,PJM-RTO,,,ZONE,,19.740000,19.745413,0.000000,0.010413,True,1
1/3/2019 8:00:00 AM,1/3/2019 3:00:00 AM,1,PJM-RTO,,,ZONE,,19.780000,19.791741,0.000000,0.013407,True,1
1/3/2019 9:00:00 AM,1/3/2019 4:00:00 AM,1,PJM-RTO,,,ZONE,,19.860000,19.872201,0.000000,0.011368,True,1
1/3/2019 10:00:00 AM,1/3/2019 5:00:00 AM,1,PJM-RTO,,,ZONE,,20.170000,20.178193,0.000000,0.011526,True,1
1/3/2019 11:00:00 AM,1/3/2019 6:00:00 AM,1,PJM-RTO,,,ZONE,,22.440000,22.456889,0.000362,0.012360,True,1
1/3/2019 12:00:00 PM,1/3/2019 7:00:00 AM,1,PJM-RTO,,,ZONE,,24.130000,24.144523,0.000492,0.014031,True,1
1/3/2019 1:00:00 PM,1/3/2019 8:00:00 AM,1,PJM-RTO,,,ZONE,,24.090000,24.098896,0.000000,0.013063,True,1
1/3/2019 2:00:00 PM,1/3/2019 9:00:00 AM,1,PJM-RTO,,,ZONE,,23.450000,23.460722,0.000000,0.014055,True,1
1/3/2019 3:00:00 PM,1/3/2019 10:00:00 AM,1,PJM-RTO,,,ZONE,,23.670000,23.678812,0.000000,0.012979,True,1
1/3/2019 4:00:00 PM,1/3/2019 11:00:00 AM,1,PJM-RTO,,,ZONE,,22.180000,22.193036,0.000000,0.011369,True,1
1/3/2019 5:00:00 PM,1/3/2019 12:00:00 PM,1,PJM-RTO,,,ZONE,,23.260000,23.274174,-0.000004,0.013344,True,1
1/3/2019 6:00:00 PM,1/3/2019 1:00:00 PM,1,PJM-RTO,,,ZONE,,22.790000,22.803092,0.000000,0.011425,True,1
1/3/2019 7:00:00 PM,1/3/2019 2:00:00 PM,1,PJM-RTO,,,ZONE,,20.030000,20.040247,0.000000,0.011080,True,1
